fight_id;fight_alternate_id;RedFighter;BlueFighter;RedOdds;BlueOdds;RedExpectedValue;BlueExpectedValue;Date;Location;Country;Winner;TitleBout;WeightClass;Gender;NumberOfRounds;BlueCurrentLoseStreak;BlueCurrentWinStreak;BlueDraws;BlueAvgSigStrLanded;BlueAvgSigStrPct;BlueAvgSubAtt;BlueAvgTDLanded;BlueAvgTDPct;BlueLongestWinStreak;BlueLosses;BlueTotalRoundsFought;BlueTotalTitleBouts;BlueWinsByDecisionMajority;BlueWinsByDecisionSplit;BlueWinsByDecisionUnanimous;BlueWinsByKO;BlueWinsBySubmission;BlueWinsByTKODoctorStoppage;BlueWins;BlueStance;BlueHeightCms;BlueReachCms;BlueWeightLbs;RedCurrentLoseStreak;RedCurrentWinStreak;RedDraws;RedAvgSigStrLanded;RedAvgSigStrPct;RedAvgSubAtt;RedAvgTDLanded;RedAvgTDPct;RedLongestWinStreak;RedLosses;RedTotalRoundsFought;RedTotalTitleBouts;RedWinsByDecisionMajority;RedWinsByDecisionSplit;RedWinsByDecisionUnanimous;RedWinsByKO;RedWinsBySubmission;RedWinsByTKODoctorStoppage;RedWins;RedStance;RedHeightCms;RedReachCms;RedWeightLbs;RedAge;BlueAge;LoseStreakDif;WinStreakDif;LongestWinStreakDif;WinDif;LossDif;TotalRoundDif;TotalTitleBoutDif;KODif;SubDif;HeightDif;ReachDif;AgeDif;SigStrDif;AvgSubAttDif;AvgTDDif;EmptyArena;BMatchWCRank;RMatchWCRank;RWFlyweightRank;RWFeatherweightRank;RWStrawweightRank;RWBantamweightRank;RHeavyweightRank;RLightHeavyweightRank;RMiddleweightRank;RWelterweightRank;RLightweightRank;RFeatherweightRank;RBantamweightRank;RFlyweightRank;RPFPRank;BWFlyweightRank;BWFeatherweightRank;BWStrawweightRank;BWBantamweightRank;BHeavyweightRank;BLightHeavyweightRank;BMiddleweightRank;BWelterweightRank;BLightweightRank;BFeatherweightRank;BBantamweightRank;BFlyweightRank;BPFPRank;BetterRank;Finish;FinishDetails;FinishRound;FinishRoundTime;TotalFightTimeSecs;RedDecOdds;BlueDecOdds;RSubOdds;BSubOdds;RKOOdds;BKOOdds
10;20241214miranda_maverick-jamey-lyn_horth;Miranda Maverick;Jamey-Lyn Horth;-625,0;455,0;16,0;455,0;2024-12-14;Tampa, Florida, USA;USA;Red;False;Women's Flyweight;FEMALE;3;0;1;0;3,29;0,56;0,0;1,0;0,37;1;1;9;0;0;1;1;0;0;0;2;Orthodox;170,18;167,64;125;0;3;0;3,59;0,45;0,3;2,43;0,45;3;3;27;0;0;0;4;1;2;0;7;Southpaw;160,02;165,1;125;27;34;0;-2;-2;-5;-2;-18;0;-1;-2;10,16;2,54;7;-0,3;-0,3;-1,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;-295,0;650,0;500,0;2500,0;1400,0;2200,0
11;20241214davey_grant-ramon_taveras;Davey Grant;Ramon Taveras;-122,0;102,0;81,9672;102,0;2024-12-14;Tampa, Florida, USA;USA;Red;False;Bantamweight;MALE;3;0;2;0;4,63;0,45;0,0;0,0;0,0;2;1;5;0;0;1;0;1;0;0;2;Southpaw;172,72;177,8;135;1;0;0;4,77;0,42;0,2;1,26;0,41;3;6;32;1;0;1;1;3;1;0;6;Orthodox;172,72;175,26;135;38;30;-1;2;-1;-4;-5;-27;-1;-2;-1;0,0;2,54;-8;-0,14;-0,2;-1,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;225,0;350,0;750,0;800,0;350,0;300,0
12;20241214josefine_knutsson-piera_rodriguez;Josefine Knutsson;Piera Rodriguez;-245,0;200,0;40,8163;200,0;2024-12-14;Tampa, Florida, USA;USA;Blue;False;Women's Strawweight;FEMALE;3;2;0;0;3,64;0,47;0,0;3,11;0,41;3;2;13;0;0;0;3;0;0;0;3;Orthodox;160,02;160,02;115;0;4;0;4,87;0,51;0,0;2,0;0,72;4;0;12;0;0;0;4;0;0;0;4;Orthodox;160,02;152,4;115;28;32;2;-4;-1;-1;2;1;0;0;0;0,0;7,62;4;-1,23;0,0;1,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;-175,0;300,0;1800,0;1400,0;800,0;1200,0
13;20241207alexandre_pantoja-kai_asakura;Alexandre Pantoja;Kai Asakura;-250,0;215,0;40,0;215,0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;True;Flyweight;MALE;5;0;0;0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;Orthodox;172,72;175,26;125;0;6;0;4,41;0,49;0,8;2,61;0,47;6;3;42;3;0;2;4;2;4;0;12;Orthodox;165,1;170,18;125;34;31;0;-6;-6;-12;-3;-42;-3;-2;-4;7,62;5,08;-3;-4,41;-0,8;-2,61;;;0,0;;;;;;;;;;;;0,0;11,0;;;;;;;;;;;;;;Red;SUB;Rear Naked Choke;2,0;2:05;425,0;300,0;800,0;150,0;2500,0;400,0;350,0
14;20241207shavkat_rakhmonov-ian_machado_garry;Shavkat Rakhmonov;Ian Machado Garry;-210,0;295,0;47,619;295,0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Welterweight;MALE;3;0;8;0;5,5;0,55;0,3;0,77;0,55;8;0;20;0;0;1;4;3;0;0;8;Orthodox;190,5;187,96;170;0;6;0;4,12;0,61;1,8;1,49;0,29;6;0;11;0;0;0;0;1;5;0;6;Orthodox;185,42;195,58;170;30;27;0;2;2;2;0;9;0;2;-5;5,08;-7,62;-3;1,38;-1,5;-0,72;;7,0;3,0;;;;;;;;3,0;;;;;;;;;;;;;7,0;;;;;;Red;U-DEC;;5,0;5:00;1500,0;250,0;650,0;180,0;3000,0;240,0;700,0
15;20241207ciryl_gane-alexander_volkov;Ciryl Gane;Alexander Volkov;-380,0;300,0;26,3158;300,0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Heavyweight;MALE;3;0;4;0;5,13;0,57;0,2;0,45;0,63;4;4;44;0;0;1;4;6;1;0;12;Orthodox;200,66;203,2;250;0;1;0;5,49;0,6;0,5;0,58;0,21;7;2;33;3;0;0;3;4;2;0;9;Orthodox;193,04;205,74;245;34;36;0;3;-3;3;2;11;-3;2;-1;7,62;-2,54;2;-0,36;-0,3;-0,13;;3,0;2,0;;;;;2,0;;;;;;;;;;;;;3,0;;;;;;;;;Red;S-DEC;;3,0;5:00;900,0;-160,0;450,0;1100,0;3000,0;350,0;1100,0
16;20241207bryce_mitchell-kron_gracie;Bryce Mitchell;Kron Gracie;-950,0;625,0;10,5263;625,0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Featherweight;MALE;3;2;0;0;3,74;0,44;0,5;0,47;0,25;1;2;7;0;0;0;0;0;1;0;1;Southpaw;175,26;177,8;145;1;0;0;2,3;0,58;1,6;3,45;0,41;6;2;22;0;1;0;5;0;1;0;7;Southpaw;177,8;177,8;145;30;36;1;0;-5;-6;0;-15;0;0;0;-2,54;0,0;6;1,44;-1,1;-2,98;;;13,0;;;;;;;;;;13,0;;;;;;;;;;;;;;;;;Red;KO/TKO;Elbows;3,0;0:39;639,0;-200,0;1100,0;380,0;1400,0;500,0;4000,0
17;20241207nate_landwehr-dooho_choi;Nate Landwehr;Dooho Choi;-130,0;110,0;76,9231;110,0;2024-12-07;Las Vegas, Nevada, USA;USA;Blue;False;Featherweight;MALE;3;0;1;1;4,41;0,53;0,8;0,75;0,37;3;3;15;0;0;0;0;4;0;0;4;Orthodox;177,8;177,8;145;0;1;0;6,25;0,46;1,0;1,0;0,41;3;3;17;0;1;0;1;1;2;0;5;Orthodox;175,26;182,88;145;36;33;0;0;0;-1;0;-2;0;3;-2;2,54;-5,08;-3;-1,84;-0,2;-0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Elbows;3,0;3:21;801,0;275,0;550,0;500,0;700,0;300,0;250,0
18;20241207dominick_reyes-anthony_smith;Dominick Reyes;Anthony Smith;-380,0;300,0;26,3158;300,0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Light Heavyweight;MALE;3;1;0;0;3,24;0,49;0,6;0,46;0,26;3;12;63;1;0;1;1;7;6;0;15;Orthodox;193,04;193,04;205;0;1;0;4,87;0,5;0,3;0,35;0,28;6;4;21;2;0;1;1;4;1;0;7;Southpaw;193,04;195,58;205;34;36;1;-1;-3;8;8;42;-1;3;5;0,0;-2,54;2;-1,63;0,3;0,11;;13,0;12,0;;;;;;12,0;;;;;;;;;;;;;13,0;;;;;;;;Red;KO/TKO;Punches;2,0;4:46;586,0;250,0;750,0;1200,0;1200,0;-125,0;800,0
19;20241207vicente_luque-themba_gorimbo;Vicente Luque;Themba Gorimbo;-650,0;-162,0;15,3846;61,7284;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Welterweight;MALE;3;0;4;0;3,11;0,61;0,6;4,89;0,65;4;1;12;0;0;0;3;1;0;0;4;Orthodox;185,42;195,58;170;1;0;0;5,07;0,52;0,6;1,0;0,53;6;6;47;0;0;1;1;8;5;0;15;Orthodox;180,34;190,5;170;33;33;-1;4;-2;-11;-5;-35;0;-7;-5;5,08;5,08;0;-1,96;0,0;3,89;;;14,0;;;;;;;;14,0;;;;;;;;;;;;;;;;;;;Red;SUB;Anaconda Choke;1,0;0:52;52,0;450,0;130,0;450,0;900,0;600,0;450,0
20;20241207movsar_evloev-aljamain_sterling;Movsar Evloev;Aljamain Sterling;-238,0;195,0;42,0168;195,0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Featherweight;MALE;3;0;1;0;4,61;0,52;0,7;2,31;0,27;9;4;57;5;0;2;7;2;4;0;16;Orthodox;170,18;180,34;145;0;8;0;4,43;0,48;0,2;4,75;0,46;8;0;24;0;0;1;7;0;0;0;8;Orthodox;170,18;182,88;145;30;35;0;-7;1;8;4;33;5;2;4;0,0;-2,54;5;0,18;0,5;-2,44;;9,0;5,0;;;;;;;;;;5,0;;;;;;;;;;;;;9,0;;;;Red;U-DEC;;3,0;5:00;900,0;-135,0;275,0;1600,0;1100,0;550,0;1600,0
21;20241207randy_brown-bryan_battle;Randy Brown;Bryan Battle;150,0;-180,0;150,0;55,5556;2024-12-07;Las Vegas, Nevada, USA;USA;Blue;False;Welterweight;MALE;3;0;3;0;5,44;0,53;0,5;0,96;0,23;3;1;16;0;0;0;1;3;2;0;6;Orthodox;185,42;195,58;170;0;3;0;4,38;0,47;0,6;0,72;0,39;4;5;43;0;0;1;6;3;3;0;13;Orthodox;190,5;198,12;170;34;30;0;0;-1;-7;-4;-27;0;0;-1;-5,08;-2,54;-4;1,06;-0,1;0,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;S-DEC;;3,0;5:00;900,0;400,0;185,0;1000,0;550,0;450,0;300,0
22;20241207chris_weidman-eryk_anders;Chris Weidman;Eryk Anders;-112,0;-108,0;89,2857;92,5926;2024-12-07;Las Vegas, Nevada, USA;USA;Blue;False;Catch Weight;MALE;3;0;1;0;3,41;0,47;0,1;1,79;0,26;2;8;44;0;0;1;3;4;0;0;8;Southpaw;185,42;190,5;185;0;1;0;3,18;0,45;0,8;3,44;0,42;9;7;46;5;0;0;5;4;3;0;12;Orthodox;187,96;198,12;185;40;37;0;0;-7;-4;1;-2;-5;0;-3;-2,54;-7,62;-3;0,23;-0,7;-1,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punches;2,0;4:51;591,0;150,0;200,0;1000,0;1800,0;650,0;380,0
23;20241207cody_durden-joshua_van;Cody Durden;Joshua Van;142,0;-170,0;142,0;58,8235;2024-12-07;Las Vegas, Nevada, USA;USA;Blue;False;Flyweight;MALE;3;0;1;0;8,39;0,53;0,0;1,62;0,63;3;1;14;0;0;1;2;1;0;0;4;Orthodox;165,1;165,1;125;0;1;1;3,35;0,5;0,9;4,36;0,5;4;4;24;0;0;0;4;1;1;0;6;Southpaw;170,18;170,18;125;33;23;0;0;-1;-2;-3;-10;0;0;-1;-5,08;-5,08;-10;5,04;-0,9;-2,74;;;14,0;;;;;;;;;;;;14,0;;;;;;;;;;;;;;;Red;U-DEC;;3,0;5:00;900,0;300,0;250,0;550,0;800,0;900,0;225,0
24;20241207michael_chiesa-max_griffin;Michael Chiesa;Max Griffin;-130,0;110,0;76,9231;110,0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Welterweight;MALE;3;0;1;0;3,92;0,49;0,3;1,45;0,41;3;8;44;0;1;2;2;3;0;0;8;Orthodox;180,34;193,04;170;0;1;0;1,86;0,4;1,0;3,35;0,51;4;7;41;1;0;0;5;0;7;0;12;Southpaw;185,42;190,5;170;37;39;0;0;-1;-4;1;3;-1;3;-7;-5,08;2,54;2;2,06;-0,7;-1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Rear Naked Choke;3,0;1:56;716,0;200,0;200,0;350,0;1800,0;1600,0;350,0
25;20241207clay_guida-chase_hooper;Clay Guida;Chase Hooper;700,0;-1100,0;700,0;9,0909;2024-12-07;Las Vegas, Nevada, USA;USA;Blue;False;Lightweight;MALE;3;0;3;0;5,08;0,52;2,3;1,45;0,24;3;3;23;0;0;0;2;2;3;0;7;Southpaw;185,42;187,96;155;2;0;0;2,64;0,33;0,6;3,13;0,36;4;19;105;2;0;4;9;2;5;0;20;Orthodox;170,18;177,8;155;42;25;-2;3;-1;-13;-16;-82;-2;0;-2;15,24;10,16;-17;2,44;1,7;-1,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Armbar;1,0;3:41;221,0;1200,0;225,0;2800,0;-165,0;2200,0;700,0
26;20241207kennedy_nzechukwu-lukasz_brzeski;Kennedy Nzechukwu;Lukasz Brzeski;-550,0;410,0;18,1818;410,0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Heavyweight;MALE;3;1;0;0;4,9;0,5;0,5;0,46;0,5;1;4;14;0;0;0;1;0;1;0;2;Orthodox;193,04;198,12;236;0;1;0;5,34;0,47;0,2;0,58;0,45;3;5;31;0;0;1;1;6;1;0;9;Southpaw;195,58;210,82;205;32;32;1;-1;-2;-7;-1;-17;0;-6;0;-2,54;-12,7;0;-0,44;0,3;-0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punch;1,0;4:51;291,0;300,0;700,0;700,0;3000,0;-150,0;1200,0
27;20241123petr_yan-deiveson_figueiredo;Petr Yan;Deiveson Figueiredo;-305,0;245,0;32,7869;245,0;2024-11-23;Macau, China;China;Red;False;Bantamweight;MALE;5;0;3;1;2,91;0,54;1,4;1,62;0,34;5;3;44;6;0;1;4;4;4;0;13;Orthodox;165,1;172,72;135;0;1;0;5,11;0,54;0,1;1,61;0,49;7;4;45;4;0;0;5;4;0;0;9;Switch;170,18;170,18;135;31;36;0;2;-2;4;-1;-1;2;0;4;-5,08;2,54;5;-2,2;1,3;0,01;;5,0;3,0;;;;;;;;;;;3,0;;;;;;;;;;;;;5,0;;;Red;U-DEC;;5,0;5:00;1500,0;110,0;450,0;2000,0;1600,0;200,0;1000,0
28;20241123yan_xiaonan-tabatha_ricci;Yan Xiaonan;Tabatha Ricci;-198,0;164,0;50,5051;164,0;2024-11-23;Macau, China;China;Red;False;Women's Strawweight;FEMALE;3;0;2;0;4,18;0,36;0,1;2,74;0,37;4;2;22;0;0;1;4;0;1;0;6;Orthodox;154,94;154,94;115;1;0;0;4,99;0,45;0,0;0,92;0,73;6;3;34;1;1;0;6;1;0;0;8;Orthodox;165,1;160,02;115;35;29;-1;2;-2;-2;-1;-12;-1;-1;1;-10,16;-5,08;-6;-0,81;0,1;1,82;;10,0;2,0;;;2,0;;;;;;;;;;11,0;;;10,0;;;;;;;;;;;Red;U-DEC;;3,0;5:00;900,0;110,0;215,0;2000,0;1100,0;200,0;1800,0
29;20241123song_kenan-muslim_salikhov;Song Kenan;Muslim Salikhov;;-230,0;;43,4783;2024-11-23;Macau, China;China;Blue;False;Welterweight;MALE;3;0;1;0;3,38;0,49;0,0;1,08;0,32;5;4;26;0;0;2;2;3;0;0;7;Orthodox;180,34;177,8;170;0;1;0;4,49;0,46;0,0;0,42;0,3;2;4;23;0;0;0;3;3;0;0;6;Orthodox;182,88;180,34;170;34;40;0;0;3;1;0;3;0;0;0;-2,54;-2,54;6;-1,11;0,0;0,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Kick;1,0;3:49;229,0;;175,0;;1800,0;;200,0
30;20241123wang_cong-gabriella_fernandes;Wang Cong;Gabriella Fernandes;-950,0;750,0;10,5263;750,0;2024-11-23;Macau, China;China;Blue;False;Women's Flyweight;FEMALE;3;0;1;0;3,46;0,46;0,3;0,56;0,18;1;2;9;0;0;1;0;0;0;0;1;Southpaw;167,64;167,64;125;0;2;0;5,81;0,46;2,3;1,16;0,5;2;0;2;0;0;0;0;1;1;0;2;Southpaw;167,64;167,64;125;32;31;0;-1;-1;-1;2;7;0;-1;-1;0,0;0,0;-1;-2,35;-2,0;-0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Rear Naked Choke;2,0;3:49;529,0;-110,0;1000,0;460,0;3000,0;280,0;2200,0
31;20241123volkan_oezdemir-carlos_ulberg;Volkan Oezdemir;Carlos Ulberg;215,0;-265,0;215,0;37,7358;2024-11-23;Macau, China;China;Blue;False;Light Heavyweight;MALE;3;0;6;0;7,2;0,56;0,2;0,72;0,75;6;1;13;0;0;0;1;5;1;0;7;Orthodox;193,04;195,58;205;0;2;0;4,95;0,48;0,1;0,5;0,29;3;6;31;1;0;2;1;4;1;0;8;Orthodox;187,96;190,5;205;35;34;0;4;3;-1;-5;-18;-1;1;0;5,08;5,08;-1;2,25;0,1;0,22;;10,0;8,0;;;;;;8,0;;;;;;;;;;;;;10,0;;;;;;;;Red;U-DEC;;3,0;5:00;900,0;500,0;240,0;1600,0;800,0;500,0;130,0
